일시,광진구,동대문구,성동구,중랑구,광진구_따릉이대여소,동대문구_따릉이대여소,성동구_따릉이대여소,중랑구_따릉이대여소,광진구_하차총승객수_mean,광진구_하차총승객수_sum,광진구_하차총승객수_size,동대문구_하차총승객수_mean,동대문구_하차총승객수_sum,동대문구_하차총승객수_size,성동구_하차총승객수_mean,성동구_하차총승객수_sum,성동구_하차총승객수_size,중랑구_하차총승객수_mean,중랑구_하차총승객수_sum,중랑구_하차총승객수_size
20180101,0.592,0.368,0.58,0.162,50,49,56,49,82.66201117318435,59186.0,716.0,77.27572663000785,98372.0,1273.0,52.7578040904198,49012.0,929.0,48.55698924731183,67737.0,1395.0
20180102,0.84,0.614,1.034,0.26,50,49,56,49,153.63179916317992,110154.0,717.0,164.54267815191855,210121.0,1277.0,119.7668449197861,111982.0,935.0,101.39127324749644,141745.0,1398.0
20180103,0.828,0.576,0.952,0.288,50,49,56,49,157.09002770083103,113419.0,722.0,171.6932707355243,219424.0,1278.0,124.08038585209005,115767.0,933.0,103.9437321937322,145937.0,1404.0
20180104,0.792,0.542,0.914,0.292,50,49,56,49,158.4108635097493,113739.0,718.0,169.9968676585748,217086.0,1277.0,123.26602564102564,115377.0,936.0,103.88343994314144,146164.0,1407.0
20180105,0.818,0.602,0.994,0.308,50,49,56,49,162.0262068965517,117469.0,725.0,174.86541471048514,223478.0,1278.0,126.241452991453,118162.0,936.0,107.23629893238434,150667.0,1405.0
20180106,0.618,0.522,0.696,0.228,50,49,56,49,126.23268698060942,91140.0,722.0,132.57466770914775,169563.0,1279.0,90.66452304394429,84590.0,933.0,82.3915533285612,115101.0,1397.0
20180107,0.598,0.478,0.606,0.238,50,49,56,49,98.23216783216785,70236.0,715.0,98.23058823529412,125244.0,1275.0,66.38444924406048,61472.0,926.0,61.31115879828326,85713.0,1398.0
20180108,0.742,0.528,0.848,0.202,50,49,56,49,158.30737134909597,113823.0,719.0,172.31421838177533,219356.0,1273.0,123.91970021413276,115741.0,934.0,104.78469241773963,146489.0,1398.0
20180109,0.652,0.488,0.838,0.206,50,49,56,49,158.17638888888888,113887.0,720.0,172.44053208137714,220379.0,1278.0,125.6716577540107,117503.0,935.0,105.40613847251964,147674.0,1401.0
20180110,0.5,0.406,0.636,0.16,50,49,56,49,163.1159217877095,116791.0,716.0,172.0570758405004,220061.0,1279.0,126.7762312633833,118409.0,934.0,106.84763948497854,149373.0,1398.0
20180111,0.52,0.346,0.596,0.138,50,49,56,49,152.27538247566065,109486.0,719.0,162.4546165884194,207617.0,1278.0,118.96359743040684,111112.0,934.0,99.91285714285716,139878.0,1400.0
