사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20211101,1호선,동대문,10855,10855,20211104
20211101,1호선,신설동,13933,13933,20211104
20211101,1호선,제기동,17584,17584,20211104
20211101,1호선,청량리(서울시립대입구),19604,19604,20211104
20211101,2호선,시청,23006,23006,20211104
20211101,2호선,을지로입구,37349,37349,20211104
20211101,2호선,을지로3가,21528,21528,20211104
20211101,2호선,을지로4가,13048,13048,20211104
20211101,2호선,동대문역사문화공원(DDP),11200,11200,20211104
20211101,2호선,신당,13503,13503,20211104
20211101,2호선,상왕십리,14180,14180,20211104
20211101,2호선,왕십리(성동구청),15041,15041,20211104
20211101,2호선,한양대,8016,8016,20211104
20211101,2호선,뚝섬,20908,20908,20211104
20211101,2호선,성수,36468,36468,20211104
20211101,2호선,건대입구,31971,31971,20211104
20211101,2호선,구의(광진구청),23366,23366,20211104
20211101,2호선,강변(동서울터미널),29653,29653,20211104
20211101,2호선,잠실나루,14725,14725,20211104
20211101,장항선,봉명,1247,1247,20211104
20211101,일산선,대화,13017,13017,20211104
20211101,일산선,주엽,9212,9212,20211104
20211101,일산선,정발산,6948,6948,20211104
20211101,일산선,마두,7631,7631,20211104
20211101,일산선,백석,9734,9734,20211104
20211101,일산선,대곡,1913,1913,20211104
20211101,일산선,화정,17128,17128,20211104
20211101,일산선,원당,11405,11405,20211104
20211101,일산선,삼송,19093,19093,20211104
20211101,일산선,원흥,10812,10812,20211104
20211101,우이신설선,신설동,2243,2243,20211104
20211101,우이신설선,보문,1495,1495,20211104
20211101,우이신설선,성신여대입구(돈암),3192,3192,20211104
20211101,우이신설선,정릉,4607,4607,20211104
20211101,우이신설선,북한산보국문,5919,5919,20211104
20211101,우이신설선,솔샘,5795,5795,20211104
20211101,우이신설선,삼양사거리,2514,2514,20211104
20211101,우이신설선,삼양,2125,2125,20211104
20211101,우이신설선,화계,3343,3343,20211104
20211101,우이신설선,가오리,4088,4088,20211104
20211101,우이신설선,4.19민주묘지,3024,3024,20211104
20211101,우이신설선,솔밭공원,2379,2379,20211104
20211101,공항철도 1호선,검암,7023,7023,20211104
20211101,공항철도 1호선,계양,10217,10217,20211104
20211101,공항철도 1호선,김포공항,11894,11894,20211104
20211101,공항철도 1호선,마곡나루(서울식물원),8675,8675,20211104
20211101,공항철도 1호선,디지털미디어시티,14181,14181,20211104
20211101,공항철도 1호선,홍대입구,8344,8344,20211104
20211101,공항철도 1호선,공덕,2314,2314,20211104
20211101,공항철도 1호선,서울역,7242,7242,20211104
20211101,경춘선,춘천,1741,1741,20211104
20211101,경춘선,남춘천,2430,2430,20211104
20211101,경춘선,김유정,323,323,20211104
20211101,경춘선,강촌,482,482,20211104
20211101,경춘선,백양리,91,91,20211104
20211101,경춘선,굴봉산,171,171,20211104
20211101,경춘선,가평,2017,2017,20211104
20211101,경춘선,상천,278,278,20211104
20211101,경춘선,청평,1585,1585,20211104
20211101,경춘선,대성리,510,510,20211104
20211101,경춘선,마석,4088,4088,20211104
20211101,경춘선,천마산,1829,1829,20211104
20211101,경춘선,평내호평,6591,6591,20211104
20211101,경춘선,금곡,1612,1612,20211104
20211101,경춘선,사릉,3689,3689,20211104
20211101,경춘선,퇴계원,3679,3679,20211104
20211101,경춘선,별내,3536,3536,20211104
20211101,경춘선,갈매,3268,3268,20211104
20211101,경춘선,신내,2120,2120,20211104
20211101,경인선,도화,4179,4179,20211104
20211101,경인선,중동,9528,9528,20211104
20211101,경인선,온수(성공회대입구),7090,7090,20211104
20211101,경인선,도원,3368,3368,20211104
20211101,경인선,간석,6054,6054,20211104
20211101,경인선,부개,8829,8829,20211104
20211101,경인선,소사,9025,9025,20211104
20211101,경인선,구일,6591,6591,20211104
20211101,경인선,인천,3566,3566,20211104
20211101,경인선,동인천,13807,13807,20211104
20211101,경인선,제물포,11022,11022,20211104
20211101,경인선,주안,18775,18775,20211104
20211101,경인선,동암,14846,14846,20211104
20211101,경인선,백운,7228,7228,20211104
20211101,경인선,부평,28148,28148,20211104
20211101,경인선,송내,27279,27279,20211104
20211101,경인선,부천,32523,32523,20211104
20211101,경인선,역곡,28406,28406,20211104
20211101,경인선,오류동,12302,12302,20211104
20211101,경인선,개봉,21724,21724,20211104
20211101,경의선,계양,2,2,20211104
20211101,경의선,임진강,16,16,20211104
20211101,경의선,문산,5053,5053,20211104
20211101,경의선,파주,1697,1697,20211104
20211101,경의선,월롱,2676,2676,20211104
20211101,경의선,금촌,6846,6846,20211104
20211101,경의선,금릉,4780,4780,20211104
20211101,경의선,운정,7254,7254,20211104
20211101,경의선,야당,7165,7165,20211104
20211101,경의선,탄현,7974,7974,20211104
20211101,경의선,일산,9635,9635,20211104
20211101,경의선,풍산,5621,5621,20211104
20211101,경의선,백마,7200,7200,20211104
20211101,경의선,곡산,628,628,20211104
20211101,경의선,능곡,3894,3894,20211104
20211101,경의선,행신,8100,8100,20211104
20211101,경의선,강매,3315,3315,20211104
20211101,경의선,화전,1906,1906,20211104
20211101,경의선,수색,2874,2874,20211104
20211101,경의선,디지털미디어시티,2546,2546,20211104
20211101,경의선,가좌,5567,5567,20211104
20211101,경의선,홍대입구,1477,1477,20211104
20211101,경의선,서강대,2118,2118,20211104
20211101,경의선,공덕,3447,3447,20211104
20211101,경의선,효창공원앞,2894,2894,20211104
20211101,경의선,신촌,874,874,20211104
20211101,경의선,서울역,4438,4438,20211104
20211101,경원선,소요산,4016,4016,20211104
20211101,경원선,동두천,2065,2065,20211104
20211101,경원선,보산,1641,1641,20211104
20211101,경원선,동두천중앙,3249,3249,20211104
20211101,경원선,지행,6471,6471,20211104
20211101,경원선,덕정,5767,5767,20211104
20211101,경원선,덕계,3216,3216,20211104
20211101,경원선,양주,8130,8130,20211104
20211101,경원선,녹양,4549,4549,20211104
20211101,경원선,가능,6696,6696,20211104
20211101,경원선,의정부,17620,17620,20211104
20211101,경원선,회룡,12687,12687,20211104
20211101,경원선,망월사,7687,7687,20211104
20211101,경원선,도봉산,8305,8305,20211104
20211101,경원선,도봉,6214,6214,20211104
20211101,경원선,방학,9797,9797,20211104
20211101,경원선,녹천,4731,4731,20211104
20211101,경원선,월계,7093,7093,20211104
20211101,경원선,광운대,8721,8721,20211104
20211101,경원선,석계,7920,7920,20211104
20211101,경원선,신이문,8555,8555,20211104
20211101,경원선,외대앞,8190,8190,20211104
20211101,경원선,청량리(서울시립대입구),14987,14987,20211104
20211101,경원선,왕십리(성동구청),13399,13399,20211104
20211101,경원선,응봉,1919,1919,20211104
20211101,경원선,옥수,54,54,20211104
20211101,경원선,한남,4140,4140,20211104
