일시,광진구,동대문구,성동구,중랑구
20180101,0.592,0.368,0.58,0.162
20180102,0.84,0.614,1.034,0.26
20180103,0.828,0.576,0.952,0.288
20180104,0.792,0.542,0.914,0.292
20180105,0.818,0.602,0.994,0.308
20180106,0.618,0.522,0.696,0.228
20180107,0.598,0.478,0.606,0.238
20180108,0.742,0.528,0.848,0.202
20180109,0.652,0.488,0.838,0.206
20180110,0.5,0.406,0.636,0.16
20180111,0.52,0.346,0.596,0.138
20180112,0.514,0.318,0.596,0.136
20180113,0.492,0.296,0.454,0.188
20180114,0.496,0.414,0.554,0.17
20180115,0.722,0.52,0.918,0.26
20180116,0.844,0.63,1.012,0.258
20180117,0.82,0.59,0.9,0.24
20180118,0.788,0.638,1.01,0.228
20180119,0.984,0.634,1.126,0.294
20180120,0.77,0.486,0.804,0.276
20180121,0.664,0.448,0.648,0.268
20180122,0.624,0.396,0.692,0.162
20180123,0.432,0.386,0.636,0.11
20180124,0.396,0.302,0.498,0.088
20180125,0.444,0.306,0.492,0.098
20180126,0.36,0.29,0.526,0.088
20180127,0.358,0.278,0.352,0.116
20180128,0.316,0.294,0.334,0.128
20180129,0.574,0.366,0.62,0.132
20180130,0.444,0.288,0.512,0.098
20180131,0.474,0.338,0.598,0.1
20180201,0.726,0.43,0.816,0.202
20180202,0.732,0.47,0.886,0.224
20180203,0.448,0.312,0.44,0.152
20180204,0.322,0.244,0.328,0.126
20180205,0.522,0.362,0.622,0.144
20180206,0.472,0.342,0.592,0.114
20180207,0.614,0.43,0.676,0.158
20180208,0.706,0.476,0.758,0.174
20180209,0.838,0.48,0.946,0.23
20180210,0.614,0.4,0.606,0.236
20180211,0.45,0.28,0.356,0.144
20180212,0.652,0.46,0.716,0.178
20180213,0.788,0.52,0.892,0.288
20180214,0.9,0.55,0.994,0.272
20180215,0.436,0.332,0.488,0.218
20180216,0.318,0.244,0.398,0.192
20180217,0.388,0.298,0.442,0.236
20180218,0.65,0.368,0.568,0.262
20180219,0.954,0.628,1.22,0.32
20180220,0.958,0.74,1.238,0.302
20180221,0.946,0.664,1.086,0.338
20180222,1.008,0.614,1.134,0.318
