일시,동대문구,승차총승객수,하차총승객수
20180101,0.368,58590.0,56703.0
20180102,0.614,108956.0,111200.0
20180103,0.576,108759.0,111695.0
20180104,0.542,109524.0,112351.0
20180105,0.602,117646.0,121570.0
20180106,0.522,99403.0,101909.0
20180107,0.478,72049.0,72381.0
20180108,0.528,112422.0,115466.0
20180109,0.488,107949.0,110724.0
20180110,0.406,106237.0,108507.0
20180111,0.346,99933.0,102075.0
20180112,0.318,102296.0,105447.0
20180113,0.296,97596.0,100987.0
20180114,0.414,75128.0,74986.0
20180115,0.52,113714.0,116569.0
20180116,0.63,110841.0,113789.0
20180117,0.59,113542.0,116860.0
20180118,0.638,113302.0,116316.0
20180119,0.634,121472.0,125260.0
20180120,0.486,104045.0,107151.0
20180121,0.448,77036.0,77201.0
20180122,0.396,114195.0,117091.0
20180123,0.386,100376.0,102703.0
20180124,0.302,95006.0,96773.0
20180125,0.306,97937.0,99994.0
20180126,0.29,100357.0,102357.0
20180127,0.278,88754.0,90508.0
20180128,0.294,71150.0,71723.0
20180129,0.366,104709.0,106971.0
20180130,0.288,117301.0,118182.0
20180131,0.338,115066.0,118158.0
20180201,0.43,117427.0,120727.0
20180202,0.47,124089.0,128262.0
20180203,0.312,99353.0,102471.0
20180204,0.244,69020.0,69213.0
20180205,0.362,106089.0,108462.0
20180206,0.342,105803.0,108314.0
20180207,0.43,112444.0,115422.0
20180208,0.476,121558.0,125485.0
20180209,0.48,125234.0,129273.0
20180210,0.4,107324.0,110319.0
20180211,0.28,75513.0,75501.0
20180212,0.46,116329.0,119221.0
20180213,0.52,120221.0,124197.0
20180214,0.55,117049.0,122578.0
20180215,0.332,57232.0,58755.0
20180216,0.244,43388.0,43234.0
20180217,0.298,58718.0,57936.0
20180218,0.368,66592.0,65319.0
20180219,0.628,108543.0,110072.0
20180220,0.74,113465.0,115747.0
20180221,0.664,115445.0,116415.0
20180222,0.614,116149.0,117983.0
20180223,0.466,119854.0,121995.0
20180224,0.624,105922.0,107131.0
20180225,0.588,77540.0,77113.0
20180226,0.828,116329.0,117682.0
20180227,0.756,112500.0,115197.0
20180228,0.354,111199.0,113582.0
20180301,0.474,81846.0,84152.0
20180302,0.75,113559.0,116121.0
20180303,1.04,100710.0,103599.0
20180304,0.446,70110.0,70713.0
20180305,0.746,113744.0,116859.0
20180306,1.032,118933.0,122040.0
20180307,0.938,117932.0,121319.0
20180308,0.688,114750.0,116681.0
20180309,0.998,123397.0,126598.0
20180310,1.004,106775.0,109360.0
20180311,1.018,80338.0,81314.0
20180312,1.244,116564.0,119200.0
20180313,1.462,117488.0,120387.0
20180314,1.838,118623.0,121607.0
20180315,0.6,109563.0,111408.0
20180316,1.414,124979.0,127529.0
20180317,1.326,108657.0,110940.0
20180318,0.922,82827.0,82115.0
20180319,0.848,112186.0,114056.0
20180320,1.094,117320.0,120197.0
20180321,0.724,112134.0,114874.0
20180322,1.274,120209.0,123119.0
20180323,1.368,126579.0,129440.0
20180324,1.168,108814.0,112102.0
20180325,1.036,80143.0,80994.0
20180326,1.242,116635.0,119466.0
20180327,1.53,117680.0,120684.0
20180328,1.718,119969.0,122933.0
20180329,1.79,120206.0,122637.0
20180330,1.886,126556.0,129627.0
20180331,1.852,106548.0,109274.0
20180401,1.66,76235.0,77693.0
20180402,2.186,117509.0,119953.0
20180403,2.08,118028.0,120863.0
20180404,1.952,116483.0,119257.0
20180405,0.244,110338.0,112632.0
20180406,1.032,122997.0,126243.0
20180407,1.036,103263.0,106192.0
20180408,0.616,75929.0,76858.0
20180409,1.798,116564.0,119510.0
20180410,1.564,118424.0,122564.0
20180411,1.968,118760.0,121521.0
20180412,2.152,120511.0,123131.0
20180413,2.092,124582.0,127783.0
20180414,0.674,92385.0,94507.0
20180415,0.912,82298.0,82741.0
20180416,2.156,118033.0,121023.0
20180417,2.264,120020.0,122893.0
20180418,1.98,119113.0,122166.0
20180419,1.472,118662.0,121847.0
20180420,2.008,122581.0,126513.0
20180421,2.214,106993.0,110791.0
20180422,0.606,72293.0,72188.0
20180423,0.086,101308.0,102936.0
20180424,1.864,115956.0,118855.0
20180425,2.368,122598.0,126004.0
20180426,2.426,121315.0,124330.0
20180427,2.38,123432.0,126962.0
