일시,광진구,승차총승객수,하차총승객수
20180101,0.592,132814.0,127828.0
20180102,0.84,220378.0,218082.0
20180103,0.828,223801.0,220743.0
20180104,0.792,224870.0,221870.0
20180105,0.818,240028.0,238971.0
20180106,0.618,200953.0,202066.0
20180107,0.598,145389.0,146273.0
20180108,0.742,221438.0,219287.0
20180109,0.652,222692.0,219337.0
20180110,0.5,227669.0,225097.0
20180111,0.52,214552.0,211612.0
20180112,0.514,223286.0,222997.0
20180113,0.492,199199.0,201599.0
20180114,0.496,152334.0,153841.0
20180115,0.722,223597.0,221234.0
20180116,0.844,222839.0,219899.0
20180117,0.82,230845.0,227417.0
20180118,0.788,229154.0,226004.0
20180119,0.984,243185.0,242147.0
20180120,0.77,206129.0,207740.0
20180121,0.664,152770.0,154218.0
20180122,0.624,221849.0,219590.0
20180123,0.432,212318.0,209573.0
20180124,0.396,207085.0,203137.0
20180125,0.444,209465.0,204627.0
20180126,0.36,219111.0,217286.0
20180127,0.358,185712.0,188405.0
20180128,0.316,143155.0,144226.0
20180129,0.574,214252.0,210944.0
20180130,0.444,227432.0,227785.0
20180131,0.474,227523.0,223823.0
20180201,0.726,225395.0,221231.0
20180202,0.732,239820.0,237908.0
20180203,0.448,200866.0,202980.0
20180204,0.322,143057.0,143592.0
20180205,0.522,214978.0,211855.0
20180206,0.472,216195.0,212299.0
20180207,0.614,223831.0,220215.0
20180208,0.706,227476.0,224291.0
20180209,0.838,240857.0,239038.0
20180210,0.614,197992.0,198687.0
20180211,0.45,144804.0,146846.0
20180212,0.652,224574.0,222709.0
20180213,0.788,228927.0,228475.0
20180214,0.9,232108.0,241706.0
20180215,0.436,105110.0,115239.0
20180216,0.318,93476.0,90832.0
20180217,0.388,130780.0,129313.0
20180218,0.65,144701.0,142943.0
20180219,0.954,228898.0,224374.0
20180220,0.958,235719.0,232740.0
20180221,0.946,240522.0,237214.0
20180222,1.008,246793.0,244629.0
20180223,0.744,256670.0,255345.0
20180224,0.866,223495.0,225148.0
20180225,0.926,167411.0,168245.0
20180226,1.274,239656.0,237685.0
20180227,1.152,238805.0,235675.0
20180228,0.522,242064.0,240872.0
20180301,0.6,166993.0,166774.0
20180302,1.028,242079.0,239466.0
20180303,2.12,216800.0,218422.0
20180304,0.616,151076.0,153178.0
20180305,1.18,241126.0,237813.0
20180306,1.606,247054.0,241920.0
20180307,1.55,247110.0,242793.0
20180308,0.952,245313.0,239304.0
20180309,1.612,261609.0,259752.0
20180310,1.73,227983.0,228775.0
20180311,2.144,175220.0,177132.0
20180312,2.136,243861.0,241678.0
20180313,2.608,248551.0,244460.0
20180314,3.622,258116.0,255133.0
20180315,1.08,240066.0,234890.0
20180316,2.276,269332.0,265016.0
20180317,2.616,241207.0,243580.0
20180318,1.716,184197.0,186008.0
20180319,1.254,238667.0,235546.0
20180320,1.598,245411.0,241494.0
20180321,1.226,237913.0,234515.0
20180322,2.08,248797.0,243715.0
20180323,2.372,268336.0,262991.0
20180324,1.94,232452.0,234688.0
20180325,2.158,172648.0,176275.0
20180326,2.146,240601.0,238034.0
20180327,2.352,245311.0,241622.0
20180328,2.986,251861.0,247545.0
20180329,2.972,250735.0,245650.0
20180330,3.376,270719.0,266198.0
20180331,3.476,235350.0,236733.0
20180401,3.078,167025.0,169559.0
20180402,3.824,244829.0,242143.0
20180403,3.728,248996.0,245029.0
20180404,3.488,250758.0,245505.0
20180405,0.412,240424.0,235330.0
20180406,1.76,267447.0,263037.0
20180407,1.474,241402.0,245084.0
20180408,0.872,170269.0,173737.0
20180409,3.014,245150.0,242337.0
20180410,2.62,249439.0,246008.0
20180411,3.192,249815.0,245552.0
20180412,3.68,255167.0,250546.0
20180413,3.866,268359.0,265255.0
20180414,0.976,215770.0,217415.0
20180415,1.554,174864.0,177906.0
20180416,3.718,241225.0,239226.0
20180417,3.702,244853.0,241157.0
20180418,3.134,245472.0,241596.0
20180419,2.734,244799.0,239413.0
20180420,3.874,257550.0,255651.0
20180421,4.66,230610.0,232792.0
20180422,1.216,155718.0,154665.0
20180423,0.144,219014.0,216038.0
20180424,2.784,236534.0,231939.0
20180425,4.304,248958.0,244055.0
20180426,4.542,256176.0,249989.0
20180427,4.354,277487.0,272692.0
20180428,4.73,253164.0,256110.0
20180429,4.602,184988.0,187250.0
