일시,중랑구,승차총승객수,하차총승객수
20180101,0.162,64777.0,65393.0
20180102,0.26,142303.0,136108.0
20180103,0.288,144071.0,138891.0
20180104,0.292,144363.0,138848.0
20180105,0.308,150693.0,143519.0
20180106,0.228,113739.0,108324.0
20180107,0.238,83294.0,80001.0
20180108,0.202,146077.0,140780.0
20180109,0.206,145056.0,139774.0
20180110,0.16,145663.0,139830.0
20180111,0.138,138081.0,132861.0
20180112,0.136,139748.0,133496.0
20180113,0.188,114666.0,110313.0
20180114,0.17,84682.0,81577.0
20180115,0.26,146157.0,140475.0
20180116,0.258,145019.0,139515.0
20180117,0.24,149153.0,143866.0
20180118,0.228,147404.0,141182.0
20180119,0.294,152726.0,146197.0
20180120,0.276,118964.0,112767.0
20180121,0.268,85888.0,83252.0
20180122,0.162,145168.0,140176.0
20180123,0.11,139955.0,134371.0
20180124,0.088,134139.0,128994.0
20180125,0.098,136079.0,130834.0
20180126,0.088,138248.0,132740.0
20180127,0.116,107585.0,102667.0
20180128,0.128,80756.0,78822.0
20180129,0.132,141104.0,135828.0
20180130,0.098,147698.0,147295.0
20180131,0.1,150289.0,142968.0
20180201,0.202,148925.0,143207.0
20180202,0.224,154195.0,147890.0
20180203,0.152,115787.0,112479.0
20180204,0.126,82374.0,80037.0
20180205,0.144,144624.0,139235.0
20180206,0.114,144354.0,138928.0
20180207,0.158,148153.0,142640.0
20180208,0.174,152176.0,145825.0
20180209,0.23,154630.0,148830.0
20180210,0.236,117451.0,113254.0
20180211,0.144,83369.0,80171.0
20180212,0.178,147356.0,142217.0
20180213,0.288,150148.0,144529.0
20180214,0.272,148890.0,142272.0
20180215,0.218,67287.0,63183.0
20180216,0.192,62985.0,62791.0
20180217,0.236,75085.0,74338.0
20180218,0.262,82733.0,80357.0
20180219,0.32,145754.0,141080.0
20180220,0.302,151876.0,146228.0
20180221,0.338,152013.0,147008.0
20180222,0.318,153831.0,148512.0
20180223,0.246,157848.0,151842.0
20180224,0.288,126891.0,121736.0
20180225,0.314,93729.0,89953.0
20180226,0.394,151561.0,145094.0
20180227,0.396,151934.0,145458.0
20180228,0.15,151058.0,143913.0
20180301,0.226,95542.0,93447.0
20180302,0.346,154346.0,147789.0
20180303,0.598,120306.0,114762.0
20180304,0.26,84537.0,81542.0
20180305,0.326,156199.0,149689.0
20180306,0.588,158703.0,152773.0
20180307,0.53,157825.0,152390.0
20180308,0.334,153686.0,148423.0
20180309,0.606,160591.0,153396.0
20180310,0.606,126774.0,120775.0
20180311,0.712,93892.0,90291.0
20180312,0.688,157700.0,151371.0
20180313,0.798,159151.0,152386.0
20180314,1.0,160625.0,154297.0
20180315,0.336,153382.0,146892.0
20180316,0.756,163546.0,157022.0
20180317,0.806,130180.0,124364.0
20180318,0.564,95018.0,91355.0
20180319,0.39,154359.0,148157.0
20180320,0.538,158081.0,152048.0
20180321,0.428,154598.0,148642.0
20180322,0.666,159416.0,152655.0
20180323,0.854,163646.0,156843.0
20180324,0.718,129004.0,123094.0
20180325,0.72,93032.0,89654.0
20180326,0.674,156860.0,149767.0
20180327,0.802,158810.0,152279.0
20180328,1.012,159315.0,152905.0
20180329,1.062,158862.0,151391.0
20180330,1.168,164484.0,156430.0
20180331,1.144,127704.0,120862.0
20180401,1.156,90865.0,87621.0
20180402,1.448,157939.0,150317.0
20180403,1.41,158290.0,151508.0
20180404,1.122,158388.0,151129.0
20180405,0.13,153984.0,147866.0
20180406,0.638,161651.0,154763.0
20180407,0.772,127152.0,120872.0
20180408,0.368,89459.0,87323.0
20180409,1.162,157450.0,149961.0
20180410,0.928,159983.0,153337.0
20180411,1.204,159893.0,153103.0
20180412,1.246,160648.0,154044.0
20180413,1.35,164242.0,155881.0
20180414,0.462,116104.0,110311.0
20180415,0.73,96440.0,92389.0
20180416,1.32,158993.0,151315.0
20180417,1.402,159441.0,152957.0
20180418,1.138,160732.0,153762.0
20180419,0.974,158985.0,151888.0
20180420,1.346,162715.0,154992.0
20180421,1.584,127163.0,119799.0
20180422,0.54,85329.0,82673.0
20180423,0.036,145884.0,139886.0
20180424,1.084,158272.0,151264.0
20180425,1.716,161570.0,154179.0
20180426,1.512,161237.0,154020.0
20180427,1.598,164533.0,156568.0
20180428,1.712,130673.0,122984.0
20180429,1.844,95559.0,92138.0
20180430,1.59,159423.0,150897.0
20180501,1.914,126483.0,121376.0
20180502,0.4,154826.0,148291.0
20180503,1.34,160869.0,153422.0
20180504,1.662,168530.0,160863.0
20180505,1.632,119551.0,110851.0
20180506,1.036,83692.0,81147.0
20180507,2.082,105774.0,102411.0
20180508,1.608,160806.0,155098.0
20180509,1.972,162782.0,154580.0
20180510,1.908,161990.0,155244.0
20180511,1.87,167224.0,159989.0
20180512,0.236,117625.0,113229.0
20180513,1.838,97018.0,92976.0
20180514,1.786,159809.0,152555.0
20180515,1.766,164341.0,156625.0
20180516,0.394,151740.0,144653.0
20180517,0.168,153025.0,144869.0
20180518,0.936,167062.0,159382.0
20180519,2.142,148906.0,138624.0
20180520,2.106,109731.0,104478.0
20180521,2.086,158519.0,148921.0
20180522,0.948,104777.0,100185.0
20180523,1.808,161566.0,153671.0
20180524,1.85,160810.0,153530.0
20180525,1.964,167515.0,158536.0
20180526,2.056,132395.0,124221.0
20180527,2.1,96205.0,91488.0
20180528,2.056,157934.0,150114.0
20180529,1.602,158180.0,150713.0
20180530,2.062,160782.0,153006.0
20180531,2.062,159818.0,152783.0
20180601,2.166,163157.0,156128.0
20180602,2.058,126421.0,118501.0
20180603,2.078,92984.0,89232.0
20180604,2.126,156689.0,148602.0
20180605,2.296,160819.0,152262.0
20180606,2.122,103455.0,99085.0
20180607,2.15,158187.0,151414.0
20180608,2.346,163145.0,155837.0
20180609,1.954,123765.0,116864.0
20180610,2.098,89413.0,85680.0
20180611,1.656,155786.0,148770.0
20180612,2.27,160772.0,152611.0
20180613,2.664,106518.0,101109.0
20180614,1.486,155561.0,147744.0
20180615,2.198,161274.0,154058.0
20180616,2.454,124373.0,117094.0
20180617,2.38,90526.0,86347.0
20180618,1.934,155350.0,149369.0
20180619,2.536,156339.0,149201.0
20180620,2.424,157800.0,150433.0
20180621,2.438,156768.0,149618.0
20180622,2.568,161080.0,153383.0
20180623,2.496,125646.0,118403.0
20180624,2.01,89697.0,85977.0
20180625,2.534,152534.0,145849.0
20180626,0.492,140802.0,134358.0
20180627,2.178,152962.0,146040.0
20180628,1.492,151168.0,143909.0
20180629,2.138,157112.0,148637.0
20180630,1.53,113445.0,107764.0
20180701,0.312,71999.0,70168.0
20180702,0.246,143046.0,136593.0
20180703,2.224,151011.0,144220.0
20180704,2.364,152712.0,144932.0
20180705,2.162,153239.0,145871.0
20180706,2.5,160264.0,151969.0
20180707,2.594,122885.0,115609.0
20180708,2.372,90247.0,86819.0
20180709,0.414,147272.0,140945.0
20180710,1.334,152829.0,146023.0
20180711,1.732,152930.0,145751.0
20180712,2.444,154044.0,147343.0
20180713,2.39,158344.0,150304.0
20180714,2.196,121070.0,113973.0
20180715,1.864,89021.0,86026.0
20180716,2.082,147329.0,141374.0
20180717,2.31,150008.0,143201.0
20180718,2.236,151082.0,143982.0
20180719,2.256,150859.0,144102.0
20180720,2.22,156012.0,148310.0
20180721,1.86,115978.0,109160.0
20180722,1.616,84488.0,82137.0
20180723,1.974,145483.0,138848.0
20180724,2.016,145588.0,138817.0
