일시,성동구,승차총승객수,하차총승객수
20180101,0.58,68043.0,71941.0
20180102,1.034,177651.0,179919.0
20180103,0.952,184234.0,185607.0
20180104,0.914,184863.0,185244.0
20180105,0.994,191610.0,192524.0
20180106,0.696,125577.0,125460.0
20180107,0.606,86589.0,87844.0
20180108,0.848,181788.0,182959.0
20180109,0.838,184891.0,186724.0
20180110,0.636,185951.0,187341.0
20180111,0.596,179320.0,180461.0
20180112,0.596,179613.0,180413.0
20180113,0.454,126466.0,126372.0
20180114,0.554,93717.0,93783.0
20180115,0.918,183272.0,183750.0
20180116,1.012,184051.0,185272.0
20180117,0.9,189778.0,189965.0
20180118,1.01,186830.0,187898.0
20180119,1.126,192522.0,192849.0
20180120,0.804,131015.0,131058.0
20180121,0.648,89257.0,89898.0
20180122,0.692,181756.0,183323.0
20180123,0.636,179123.0,180308.0
20180124,0.498,172271.0,173418.0
20180125,0.492,174698.0,175887.0
20180126,0.526,175403.0,176628.0
20180127,0.352,121404.0,121487.0
20180128,0.334,85063.0,85993.0
20180129,0.62,175035.0,176753.0
20180130,0.512,191106.0,191096.0
20180131,0.598,187801.0,190359.0
20180201,0.816,186305.0,187162.0
20180202,0.886,191472.0,192784.0
20180203,0.44,128626.0,127985.0
20180204,0.328,84176.0,85540.0
20180205,0.622,180472.0,181561.0
20180206,0.592,181356.0,182728.0
20180207,0.676,186734.0,187903.0
20180208,0.758,188926.0,190176.0
20180209,0.946,192384.0,193033.0
20180210,0.606,129769.0,129728.0
20180211,0.356,89133.0,88997.0
20180212,0.716,183996.0,185063.0
20180213,0.892,187993.0,187369.0
20180214,0.994,181512.0,176805.0
20180215,0.488,64574.0,58714.0
20180216,0.398,51338.0,52697.0
20180217,0.442,68251.0,72370.0
20180218,0.568,78311.0,83780.0
20180219,1.22,175016.0,177912.0
20180220,1.238,188070.0,189431.0
20180221,1.086,192188.0,193085.0
20180222,1.134,195289.0,198099.0
20180223,0.896,198028.0,199730.0
20180224,0.808,142876.0,141526.0
20180225,0.932,96270.0,96187.0
20180226,1.448,189605.0,191261.0
20180227,1.3,189151.0,191178.0
20180228,0.554,194249.0,195546.0
20180301,0.66,109315.0,109984.0
20180302,1.196,192790.0,193822.0
20180303,1.894,136623.0,135989.0
20180304,0.628,91262.0,92706.0
20180305,1.378,203631.0,204201.0
20180306,1.87,207299.0,207837.0
20180307,1.612,207316.0,207924.0
20180308,1.232,204820.0,205191.0
20180309,1.732,210379.0,211165.0
20180310,1.602,145186.0,144619.0
20180311,1.886,98514.0,99215.0
20180312,2.148,202742.0,203836.0
20180313,2.47,208115.0,208504.0
20180314,3.294,211688.0,212932.0
20180315,1.026,202878.0,203653.0
20180316,2.338,212996.0,213992.0
20180317,2.604,149516.0,147746.0
20180318,1.562,103135.0,103357.0
20180319,1.33,201406.0,202560.0
20180320,1.768,207936.0,209140.0
20180321,1.168,204838.0,205772.0
20180322,2.126,209414.0,210211.0
20180323,2.444,213475.0,213108.0
20180324,1.9,147672.0,147258.0
20180325,1.674,97867.0,99201.0
20180326,2.154,202973.0,204186.0
20180327,2.3,208767.0,209618.0
20180328,2.962,211986.0,212803.0
20180329,2.788,208287.0,208869.0
20180330,3.14,215112.0,214851.0
20180331,3.276,144774.0,142552.0
20180401,3.134,96601.0,97768.0
20180402,3.558,203040.0,204524.0
20180403,3.446,207806.0,208468.0
20180404,3.502,208747.0,209933.0
20180405,0.414,204076.0,205462.0
20180406,1.85,212285.0,212802.0
20180407,1.588,147945.0,146993.0
20180408,0.926,97416.0,98156.0
20180409,2.964,202675.0,203831.0
20180410,2.508,209327.0,210610.0
20180411,3.12,209555.0,211172.0
20180412,3.86,208397.0,209374.0
20180413,3.78,209939.0,210086.0
20180414,0.862,134458.0,132581.0
20180415,1.488,104694.0,105013.0
20180416,3.822,202551.0,204009.0
20180417,3.546,207120.0,207741.0
20180418,3.042,206128.0,207115.0
20180419,2.564,205099.0,205698.0
20180420,3.524,205742.0,206511.0
20180421,4.204,143365.0,142170.0
20180422,1.056,89744.0,91326.0
20180423,0.114,191214.0,192222.0
20180424,2.922,203942.0,203476.0
20180425,3.93,210148.0,211168.0
20180426,4.164,208782.0,209543.0
20180427,4.014,214058.0,213859.0
20180428,3.97,151977.0,150251.0
20180429,4.502,101545.0,102714.0
20180430,4.07,202643.0,203819.0
20180501,4.322,152246.0,152278.0
20180502,1.042,205212.0,206284.0
20180503,3.074,208149.0,209041.0
20180504,4.01,219280.0,217982.0
20180505,4.46,125389.0,121308.0
20180506,2.328,88875.0,89544.0
20180507,5.198,114762.0,119355.0
20180508,4.058,207474.0,209305.0
20180509,4.694,210378.0,211826.0
20180510,4.32,211888.0,212681.0
20180511,4.048,214868.0,215597.0
20180512,0.402,139853.0,139826.0
20180513,4.358,103620.0,104770.0
20180514,4.502,205855.0,207249.0
20180515,4.374,209838.0,211864.0
20180516,1.138,201424.0,202301.0
20180517,0.504,203948.0,204733.0
20180518,2.194,214163.0,213783.0
20180519,5.072,156003.0,154118.0
20180520,4.674,107205.0,107629.0
20180521,5.138,197631.0,197162.0
20180522,2.184,113575.0,115362.0
20180523,4.346,212144.0,215548.0
20180524,4.36,215936.0,220068.0
20180525,4.308,219873.0,224131.0
20180526,4.688,156820.0,153853.0
20180527,4.612,102485.0,104070.0
20180528,4.728,204211.0,204760.0
20180529,3.568,205469.0,206279.0
20180530,4.65,208566.0,209865.0
20180531,4.968,207244.0,207762.0
20180601,4.966,211593.0,211084.0
20180602,4.624,145070.0,144298.0
20180603,4.758,99084.0,100148.0
20180604,4.664,200332.0,201027.0
20180605,4.608,208829.0,208672.0
20180606,4.844,113396.0,114645.0
20180607,4.76,204872.0,206282.0
20180608,5.09,209369.0,209284.0
20180609,3.788,140031.0,139855.0
20180610,4.476,93920.0,94791.0
