일시,동대문구,승차총승객수,하차총승객수,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 3시간 신적설(cm),안개 계속시간(hr),따릉이대여소,버스하차총승객수_sum,버스하차총승객수_mean,버스하차총승객수_size
20180101,0.368,58590.0,56703.0,-1.3,-5.1,3.8,0.0,0.0,3.8,1.4,39.1,0.0,0.0,49,98372.0,77.27572663000785,1273.0
20180102,0.614,108956.0,111200.0,-1.8,-4.3,1.8,0.0,0.0,4.9,1.8,42.0,0.0,0.0,49,210121.0,164.54267815191855,1277.0
20180103,0.576,108759.0,111695.0,-4.7,-7.1,-0.4,0.0,0.0,3.5,2.2,42.3,0.0,0.0,49,219424.0,171.6932707355243,1278.0
20180104,0.542,109524.0,112351.0,-4.7,-8.7,-0.7,0.0,0.0,3.5,1.4,43.0,0.0,0.0,49,217086.0,169.9968676585748,1277.0
20180105,0.602,117646.0,121570.0,-3.0,-5.6,1.6,0.0,0.0,3.6,1.7,48.4,0.0,0.0,49,223478.0,174.86541471048514,1278.0
20180106,0.522,99403.0,101909.0,-2.8,-6.8,2.9,0.0,0.0,3.1,1.5,45.8,0.0,0.0,49,169563.0,132.57466770914775,1279.0
20180107,0.478,72049.0,72381.0,-0.8,-5.7,2.8,0.0,0.0,2.5,0.8,42.1,0.0,0.0,49,125244.0,98.23058823529412,1275.0
20180108,0.528,112422.0,115466.0,1.3,-1.2,4.0,4.5,0.9,7.1,1.8,51.9,1.0,0.0,49,219356.0,172.31421838177533,1273.0
20180109,0.488,107949.0,110724.0,-4.2,-6.1,-1.2,5.58,0.5,6.1,2.9,59.4,0.5,0.0,49,220379.0,172.44053208137714,1278.0
20180110,0.406,106237.0,108507.0,-7.5,-10.3,-4.8,2.08,0.3,6.1,3.0,52.0,0.3,0.0,49,220061.0,172.0570758405004,1279.0
20180111,0.346,99933.0,102075.0,-11.1,-13.6,-7.4,0.0,0.0,4.9,2.8,49.8,0.0,0.0,49,207617.0,162.4546165884194,1278.0
20180112,0.318,102296.0,105447.0,-10.2,-15.3,-5.4,2.08,0.0,3.6,1.7,35.4,0.0,0.0,49,206757.0,161.90837901331244,1277.0
