일시,광진구,승차총승객수,하차총승객수,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 3시간 신적설(cm),안개 계속시간(hr),따릉이대여소,버스하차총승객수_sum,버스하차총승객수_mean,버스하차총승객수_size
20180101,0.592,132814.0,127828.0,-1.3,-5.1,3.8,0.0,0.0,3.8,1.4,39.1,0.0,0.0,50,59186.0,82.66201117318435,716.0
20180102,0.84,220378.0,218082.0,-1.8,-4.3,1.8,0.0,0.0,4.9,1.8,42.0,0.0,0.0,50,110154.0,153.63179916317992,717.0
20180103,0.828,223801.0,220743.0,-4.7,-7.1,-0.4,0.0,0.0,3.5,2.2,42.3,0.0,0.0,50,113419.0,157.09002770083103,722.0
20180104,0.792,224870.0,221870.0,-4.7,-8.7,-0.7,0.0,0.0,3.5,1.4,43.0,0.0,0.0,50,113739.0,158.4108635097493,718.0
20180105,0.818,240028.0,238971.0,-3.0,-5.6,1.6,0.0,0.0,3.6,1.7,48.4,0.0,0.0,50,117469.0,162.0262068965517,725.0
20180106,0.618,200953.0,202066.0,-2.8,-6.8,2.9,0.0,0.0,3.1,1.5,45.8,0.0,0.0,50,91140.0,126.23268698060942,722.0
20180107,0.598,145389.0,146273.0,-0.8,-5.7,2.8,0.0,0.0,2.5,0.8,42.1,0.0,0.0,50,70236.0,98.23216783216785,715.0
20180108,0.742,221438.0,219287.0,1.3,-1.2,4.0,4.5,0.9,7.1,1.8,51.9,1.0,0.0,50,113823.0,158.30737134909597,719.0
20180109,0.652,222692.0,219337.0,-4.2,-6.1,-1.2,5.58,0.5,6.1,2.9,59.4,0.5,0.0,50,113887.0,158.17638888888888,720.0
20180110,0.5,227669.0,225097.0,-7.5,-10.3,-4.8,2.08,0.3,6.1,3.0,52.0,0.3,0.0,50,116791.0,163.1159217877095,716.0
20180111,0.52,214552.0,211612.0,-11.1,-13.6,-7.4,0.0,0.0,4.9,2.8,49.8,0.0,0.0,50,109486.0,152.27538247566065,719.0
20180112,0.514,223286.0,222997.0,-10.2,-15.3,-5.4,2.08,0.0,3.6,1.7,35.4,0.0,0.0,50,110251.0,153.1263888888889,720.0
20180113,0.492,199199.0,201599.0,-4.4,-6.6,-1.2,7.83,0.4,1.7,0.8,67.3,0.6,0.0,50,90902.0,126.07766990291262,721.0
20180114,0.496,152334.0,153841.0,0.6,-4.4,5.4,0.0,0.0,2.8,1.2,64.1,0.0,0.0,50,69179.0,97.02524544179524,713.0
20180115,0.722,223597.0,221234.0,4.7,1.8,7.7,1.25,0.2,3.3,1.4,63.9,0.0,0.0,50,115538.0,160.46944444444443,720.0
20180116,0.844,222839.0,219899.0,3.5,0.1,6.8,1.25,0.0,2.2,0.7,59.1,0.0,0.0,50,114752.0,158.716459197787,723.0
20180117,0.82,230845.0,227417.0,4.5,2.4,8.7,0.0,0.0,3.7,1.2,64.1,0.0,0.0,50,120104.0,167.0431154381085,719.0
20180118,0.788,229154.0,226004.0,2.1,0.3,4.5,0.58,0.0,3.8,1.9,59.6,0.0,0.0,50,117735.0,164.20502092050208,717.0
20180119,0.984,243185.0,242147.0,1.0,-2.5,5.5,0.0,0.0,3.7,1.6,43.0,0.0,0.0,50,119389.0,165.13001383125865,723.0
20180120,0.77,206129.0,207740.0,2.2,-1.0,6.9,0.0,0.0,3.6,1.6,57.6,0.0,0.0,50,93566.0,129.41355463347165,723.0
20180121,0.664,152770.0,154218.0,0.4,-3.7,5.5,0.0,0.0,3.2,1.0,36.6,0.0,0.0,50,71068.0,99.67461430575035,713.0
20180122,0.624,221849.0,219590.0,0.2,-5.3,4.0,6.0,3.3,5.1,1.5,56.5,1.0,0.0,50,114236.0,159.32496513249652,717.0
20180123,0.432,212318.0,209573.0,-11.7,-14.6,-5.3,0.0,0.0,5.4,3.7,42.0,0.0,0.0,50,109048.0,152.08926080892607,717.0
20180124,0.396,207085.0,203137.0,-14.2,-16.3,-10.7,0.0,0.0,7.2,3.4,31.6,0.0,0.0,50,106429.0,148.02364394993046,719.0
20180125,0.444,209465.0,204627.0,-14.0,-16.4,-9.5,0.0,0.0,4.8,2.8,32.6,0.0,0.0,50,107741.0,149.84840055632824,719.0
20180126,0.36,219111.0,217286.0,-14.8,-17.8,-10.7,0.0,0.0,4.6,2.6,34.9,0.0,0.0,50,108587.0,150.18948824343016,723.0
20180127,0.358,185712.0,188405.0,-9.9,-15.9,-3.5,0.0,0.0,3.4,1.4,37.4,0.0,0.0,50,85315.0,118.82311977715878,718.0
20180128,0.316,143155.0,144226.0,-6.3,-9.3,-1.2,0.0,0.0,5.6,2.6,36.0,0.0,0.0,50,66594.0,93.2689075630252,714.0
20180129,0.574,214252.0,210944.0,-8.5,-11.6,-4.7,0.0,0.0,6.2,2.7,35.0,0.0,0.0,50,110998.0,155.02513966480447,716.0
20180130,0.444,227432.0,227785.0,-5.3,-11.4,-0.8,8.67,2.9,3.8,1.3,62.0,3.5,0.0,50,111624.0,155.68200836820083,717.0
20180131,0.474,227523.0,223823.0,-2.6,-5.2,0.0,0.67,0.0,3.4,1.6,54.5,0.0,0.0,50,120300.0,166.39004149377593,723.0
20180201,0.726,225395.0,221231.0,-4.0,-8.8,1.2,0.0,0.0,3.9,1.6,44.1,0.0,0.0,50,117125.0,162.4479889042996,721.0
20180202,0.732,239820.0,237908.0,-2.4,-7.6,3.8,0.0,0.0,3.6,1.6,51.1,0.0,0.0,50,120836.0,168.29526462395543,718.0
20180203,0.448,200866.0,202980.0,-7.3,-10.4,-2.1,3.83,0.5,5.7,3.8,47.0,0.3,0.0,50,90864.0,126.55153203342618,718.0
20180204,0.322,143057.0,143592.0,-9.5,-12.8,-5.2,0.0,0.0,5.6,3.1,40.9,0.0,0.0,50,68384.0,96.1800281293952,711.0
20180205,0.522,214978.0,211855.0,-9.4,-11.8,-5.1,0.0,0.0,5.6,3.0,37.8,0.0,0.0,50,115455.0,161.47552447552448,715.0
20180206,0.472,216195.0,212299.0,-10.1,-12.8,-5.8,0.0,0.0,4.9,3.1,36.5,0.0,0.0,50,116464.0,161.75555555555556,720.0
20180207,0.614,223831.0,220215.0,-8.0,-13.4,-1.6,0.0,0.0,3.3,1.5,39.8,0.0,0.0,50,119465.0,165.92361111111111,720.0
20180208,0.706,227476.0,224291.0,-4.4,-9.7,2.0,0.0,0.0,3.0,1.2,43.3,0.0,0.0,50,119985.0,166.41470180305132,721.0
20180209,0.838,240857.0,239038.0,0.4,-5.3,6.1,0.0,0.0,3.0,1.1,43.9,0.0,0.0,50,120196.0,167.17107093184978,719.0
20180210,0.614,197992.0,198687.0,-0.5,-6.9,3.2,0.0,0.0,6.3,3.0,47.4,0.0,0.0,50,91616.0,127.95530726256985,716.0
20180211,0.45,144804.0,146846.0,-6.1,-9.5,-2.2,1.0,0.0,5.1,2.7,42.5,0.0,0.0,50,69134.0,96.55586592178771,716.0
20180212,0.652,224574.0,222709.0,-5.8,-9.6,-1.8,2.17,0.0,5.2,2.7,40.8,0.0,0.0,50,115518.0,159.9972299168975,722.0
20180213,0.788,228927.0,228475.0,-0.8,-7.4,4.3,0.0,0.0,5.6,2.7,54.5,0.0,0.0,50,116373.0,162.07938718662953,718.0
20180214,0.9,232108.0,241706.0,3.5,-0.7,8.7,0.0,0.0,5.4,2.6,51.0,0.0,0.0,50,114497.0,160.13566433566433,715.0
20180215,0.436,105110.0,115239.0,-0.7,-3.7,4.0,0.0,0.0,4.4,2.5,28.0,0.0,0.0,50,48905.0,68.97743300423132,709.0
20180216,0.318,93476.0,90832.0,-1.1,-5.5,4.9,0.0,0.0,5.5,2.1,40.1,0.0,0.0,50,38885.0,54.92231638418079,708.0
20180217,0.388,130780.0,129313.0,-3.0,-7.1,1.4,0.0,0.0,5.5,2.9,25.6,0.0,0.0,50,53283.0,75.36492220650636,707.0
20180218,0.65,144701.0,142943.0,-0.4,-4.9,5.2,0.0,0.0,3.5,1.3,26.9,0.0,0.0,50,64743.0,90.4231843575419,716.0
20180219,0.954,228898.0,224374.0,1.8,-1.9,6.8,0.0,0.0,3.0,1.5,48.6,0.0,0.0,50,111138.0,154.7883008356546,718.0
20180220,0.958,235719.0,232740.0,0.9,-2.4,5.5,0.0,0.0,5.8,2.5,41.0,0.0,0.0,50,116019.0,161.1375,720.0
20180221,0.946,240522.0,237214.0,-0.9,-4.5,4.4,0.0,0.0,5.2,2.3,31.5,0.0,0.0,50,118039.0,163.48891966759004,722.0
20180222,1.008,246793.0,244629.0,1.3,-3.9,5.4,0.67,0.4,5.2,2.2,59.0,0.4,0.0,50,116853.0,163.20251396648044,716.0
20180223,0.744,256670.0,255345.0,4.2,-0.3,8.6,2.75,3.7,5.0,1.9,81.1,3.7,0.0,50,120610.0,166.81881051175657,723.0
20180224,0.866,223495.0,225148.0,2.4,-1.1,7.2,0.0,0.0,3.9,2.1,49.4,0.0,0.0,50,94851.0,132.47346368715085,716.0
20180225,0.926,167411.0,168245.0,1.9,-1.6,7.9,0.0,0.0,3.8,1.7,40.6,0.0,0.0,50,73533.0,102.12916666666666,720.0
20180226,1.274,239656.0,237685.0,3.1,-3.2,10.4,0.0,0.0,3.6,1.4,43.1,0.0,0.0,50,115006.0,160.17548746518105,718.0
20180227,1.152,238805.0,235675.0,4.2,0.6,6.9,0.0,0.0,1.8,0.9,48.8,0.0,0.0,50,115427.0,161.2108938547486,716.0
20180228,0.522,242064.0,240872.0,4.6,1.8,7.8,11.25,25.0,3.7,2.0,73.3,0.0,0.0,50,116073.0,162.33986013986015,715.0
20180301,0.6,166993.0,166774.0,-0.2,-4.3,3.0,4.25,0.5,6.9,3.8,61.9,0.0,0.0,50,78458.0,109.73146853146854,715.0
20180302,1.028,242079.0,239466.0,-0.7,-6.7,5.4,0.0,0.0,3.3,1.5,34.0,0.0,0.0,50,122642.0,170.5730180806676,719.0
20180303,2.12,216800.0,218422.0,7.9,-0.1,16.2,1.17,0.0,3.9,1.5,38.1,0.0,0.0,50,94547.0,130.77040110650069,723.0
20180304,0.616,151076.0,153178.0,9.8,7.6,11.9,13.75,11.5,3.5,1.2,89.1,0.0,0.0,50,70382.0,98.57422969187677,714.0
20180305,1.18,241126.0,237813.0,5.5,1.3,11.4,9.92,3.5,3.5,2.0,67.5,0.0,0.0,50,120213.0,167.19471488178024,719.0
20180306,1.606,247054.0,241920.0,4.5,-1.1,10.9,0.0,0.0,3.7,1.6,46.8,0.0,0.0,50,120184.0,166.92222222222222,720.0
20180307,1.55,247110.0,242793.0,6.4,2.2,10.7,3.5,0.5,3.2,1.8,54.0,0.0,0.0,50,122122.0,170.5614525139665,716.0
20180308,0.952,245313.0,239304.0,4.6,2.7,9.7,10.25,4.0,4.5,1.9,76.0,0.0,0.0,50,120103.0,165.6593103448276,725.0
20180309,1.612,261609.0,259752.0,4.5,1.4,9.6,0.0,0.0,4.2,1.5,63.3,0.0,0.0,50,123330.0,171.05409153952843,721.0
20180310,1.73,227983.0,228775.0,4.6,0.7,9.7,0.0,0.0,5.9,2.0,65.8,0.0,0.0,50,96591.0,134.52785515320335,718.0
20180311,2.144,175220.0,177132.0,6.4,2.7,12.2,0.0,0.0,4.2,2.0,51.3,0.0,0.0,50,75783.0,105.69456066945608,717.0
20180312,2.136,243861.0,241678.0,8.0,2.2,15.5,0.0,0.0,4.2,1.4,45.8,0.0,0.0,50,118877.0,165.336578581363,719.0
20180313,2.608,248551.0,244460.0,12.4,5.2,18.8,0.0,0.0,4.3,1.8,60.5,0.0,0.0,50,120135.0,167.55230125523013,717.0
20180314,3.622,258116.0,255133.0,17.0,13.6,22.1,0.0,0.0,5.0,2.3,58.8,0.0,0.0,50,123578.0,171.63611111111112,720.0
20180315,1.08,240066.0,234890.0,12.4,8.4,16.6,13.5,27.0,4.8,2.1,92.1,0.0,0.0,50,118417.0,163.33379310344827,725.0
20180316,2.276,269332.0,265016.0,7.1,3.6,12.2,0.0,0.0,3.1,1.9,46.9,0.0,0.0,50,124727.0,172.75207756232686,722.0
20180317,2.616,241207.0,243580.0,6.6,0.5,14.0,0.0,0.0,3.8,1.5,48.0,0.0,0.0,50,100493.0,139.38002773925103,721.0
20180318,1.716,184197.0,186008.0,8.2,5.4,12.5,7.42,0.5,2.9,1.2,55.9,0.0,0.0,50,69816.0,97.781512605042,714.0
20180319,1.254,238667.0,235546.0,8.0,6.2,10.4,13.5,1.0,4.2,2.5,64.5,0.0,0.0,50,118352.0,164.37777777777777,720.0
20180320,1.598,245411.0,241494.0,4.7,1.6,9.1,0.0,0.0,4.8,3.4,39.9,0.0,0.0,50,120887.0,168.60111576011158,717.0
20180321,1.226,237913.0,234515.0,2.1,1.1,5.3,8.33,1.0,3.3,1.7,64.1,0.0,0.0,50,119681.0,166.2236111111111,720.0
