일시,중랑구,승차총승객수,하차총승객수,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 3시간 신적설(cm),안개 계속시간(hr),따릉이대여소,버스하차총승객수_sum,버스하차총승객수_mean,버스하차총승객수_size
20180101,0.162,64777.0,65393.0,-1.3,-5.1,3.8,0.0,0.0,3.8,1.4,39.1,0.0,0.0,49,67737.0,48.55698924731183,1395.0
20180102,0.26,142303.0,136108.0,-1.8,-4.3,1.8,0.0,0.0,4.9,1.8,42.0,0.0,0.0,49,141745.0,101.39127324749644,1398.0
20180103,0.288,144071.0,138891.0,-4.7,-7.1,-0.4,0.0,0.0,3.5,2.2,42.3,0.0,0.0,49,145937.0,103.9437321937322,1404.0
20180104,0.292,144363.0,138848.0,-4.7,-8.7,-0.7,0.0,0.0,3.5,1.4,43.0,0.0,0.0,49,146164.0,103.88343994314144,1407.0
20180105,0.308,150693.0,143519.0,-3.0,-5.6,1.6,0.0,0.0,3.6,1.7,48.4,0.0,0.0,49,150667.0,107.23629893238434,1405.0
20180106,0.228,113739.0,108324.0,-2.8,-6.8,2.9,0.0,0.0,3.1,1.5,45.8,0.0,0.0,49,115101.0,82.3915533285612,1397.0
20180107,0.238,83294.0,80001.0,-0.8,-5.7,2.8,0.0,0.0,2.5,0.8,42.1,0.0,0.0,49,85713.0,61.31115879828326,1398.0
20180108,0.202,146077.0,140780.0,1.3,-1.2,4.0,4.5,0.9,7.1,1.8,51.9,1.0,0.0,49,146489.0,104.78469241773963,1398.0
20180109,0.206,145056.0,139774.0,-4.2,-6.1,-1.2,5.58,0.5,6.1,2.9,59.4,0.5,0.0,49,147674.0,105.40613847251964,1401.0
20180110,0.16,145663.0,139830.0,-7.5,-10.3,-4.8,2.08,0.3,6.1,3.0,52.0,0.3,0.0,49,149373.0,106.84763948497854,1398.0
20180111,0.138,138081.0,132861.0,-11.1,-13.6,-7.4,0.0,0.0,4.9,2.8,49.8,0.0,0.0,49,139878.0,99.91285714285716,1400.0
20180112,0.136,139748.0,133496.0,-10.2,-15.3,-5.4,2.08,0.0,3.6,1.7,35.4,0.0,0.0,49,140891.0,100.63642857142855,1400.0
20180113,0.188,114666.0,110313.0,-4.4,-6.6,-1.2,7.83,0.4,1.7,0.8,67.3,0.6,0.0,49,115014.0,81.91880341880342,1404.0
20180114,0.17,84682.0,81577.0,0.6,-4.4,5.4,0.0,0.0,2.8,1.2,64.1,0.0,0.0,49,85489.0,61.37042354630295,1393.0
20180115,0.26,146157.0,140475.0,4.7,1.8,7.7,1.25,0.2,3.3,1.4,63.9,0.0,0.0,49,148549.0,106.10642857142857,1400.0
20180116,0.258,145019.0,139515.0,3.5,0.1,6.8,1.25,0.0,2.2,0.7,59.1,0.0,0.0,49,146484.0,104.33333333333331,1404.0
20180117,0.24,149153.0,143866.0,4.5,2.4,8.7,0.0,0.0,3.7,1.2,64.1,0.0,0.0,49,155596.0,111.14,1400.0
20180118,0.228,147404.0,141182.0,2.1,0.3,4.5,0.58,0.0,3.8,1.9,59.6,0.0,0.0,49,152285.0,108.46509971509973,1404.0
20180119,0.294,152726.0,146197.0,1.0,-2.5,5.5,0.0,0.0,3.7,1.6,43.0,0.0,0.0,49,151989.0,108.33143264433356,1403.0
20180120,0.276,118964.0,112767.0,2.2,-1.0,6.9,0.0,0.0,3.6,1.6,57.6,0.0,0.0,49,117246.0,83.74714285714286,1400.0
20180121,0.268,85888.0,83252.0,0.4,-3.7,5.5,0.0,0.0,3.2,1.0,36.6,0.0,0.0,49,87463.0,62.47357142857143,1400.0
20180122,0.162,145168.0,140176.0,0.2,-5.3,4.0,6.0,3.3,5.1,1.5,56.5,1.0,0.0,49,146269.0,104.47785714285716,1400.0
20180123,0.11,139955.0,134371.0,-11.7,-14.6,-5.3,0.0,0.0,5.4,3.7,42.0,0.0,0.0,49,142514.0,101.72305496074232,1401.0
20180124,0.088,134139.0,128994.0,-14.2,-16.3,-10.7,0.0,0.0,7.2,3.4,31.6,0.0,0.0,49,138574.0,98.91077801570307,1401.0
20180125,0.098,136079.0,130834.0,-14.0,-16.4,-9.5,0.0,0.0,4.8,2.8,32.6,0.0,0.0,49,138827.0,99.0206847360913,1402.0
20180126,0.088,138248.0,132740.0,-14.8,-17.8,-10.7,0.0,0.0,4.6,2.6,34.9,0.0,0.0,49,139873.0,100.19555873925502,1396.0
20180127,0.116,107585.0,102667.0,-9.9,-15.9,-3.5,0.0,0.0,3.4,1.4,37.4,0.0,0.0,49,109896.0,78.72206303724928,1396.0
20180128,0.128,80756.0,78822.0,-6.3,-9.3,-1.2,0.0,0.0,5.6,2.6,36.0,0.0,0.0,49,84343.0,60.89747292418773,1385.0
20180129,0.132,141104.0,135828.0,-8.5,-11.6,-4.7,0.0,0.0,6.2,2.7,35.0,0.0,0.0,49,142476.0,101.91416309012877,1398.0
