일시,성동구,승차총승객수,하차총승객수,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 3시간 신적설(cm),안개 계속시간(hr),따릉이대여소,버스하차총승객수_sum,버스하차총승객수_mean,버스하차총승객수_size
20180101,0.58,68043.0,71941.0,-1.3,-5.1,3.8,0.0,0.0,3.8,1.4,39.1,0.0,0.0,56,49012.0,52.7578040904198,929.0
20180102,1.034,177651.0,179919.0,-1.8,-4.3,1.8,0.0,0.0,4.9,1.8,42.0,0.0,0.0,56,111982.0,119.7668449197861,935.0
20180103,0.952,184234.0,185607.0,-4.7,-7.1,-0.4,0.0,0.0,3.5,2.2,42.3,0.0,0.0,56,115767.0,124.08038585209005,933.0
20180104,0.914,184863.0,185244.0,-4.7,-8.7,-0.7,0.0,0.0,3.5,1.4,43.0,0.0,0.0,56,115377.0,123.26602564102564,936.0
20180105,0.994,191610.0,192524.0,-3.0,-5.6,1.6,0.0,0.0,3.6,1.7,48.4,0.0,0.0,56,118162.0,126.241452991453,936.0
20180106,0.696,125577.0,125460.0,-2.8,-6.8,2.9,0.0,0.0,3.1,1.5,45.8,0.0,0.0,56,84590.0,90.66452304394429,933.0
20180107,0.606,86589.0,87844.0,-0.8,-5.7,2.8,0.0,0.0,2.5,0.8,42.1,0.0,0.0,56,61472.0,66.38444924406048,926.0
20180108,0.848,181788.0,182959.0,1.3,-1.2,4.0,4.5,0.9,7.1,1.8,51.9,1.0,0.0,56,115741.0,123.91970021413276,934.0
20180109,0.838,184891.0,186724.0,-4.2,-6.1,-1.2,5.58,0.5,6.1,2.9,59.4,0.5,0.0,56,117503.0,125.6716577540107,935.0
20180110,0.636,185951.0,187341.0,-7.5,-10.3,-4.8,2.08,0.3,6.1,3.0,52.0,0.3,0.0,56,118409.0,126.7762312633833,934.0
20180111,0.596,179320.0,180461.0,-11.1,-13.6,-7.4,0.0,0.0,4.9,2.8,49.8,0.0,0.0,56,111112.0,118.96359743040684,934.0
20180112,0.596,179613.0,180413.0,-10.2,-15.3,-5.4,2.08,0.0,3.6,1.7,35.4,0.0,0.0,56,111378.0,119.24839400428266,934.0
20180113,0.454,126466.0,126372.0,-4.4,-6.6,-1.2,7.83,0.4,1.7,0.8,67.3,0.6,0.0,56,83684.0,89.69346195069667,933.0
20180114,0.554,93717.0,93783.0,0.6,-4.4,5.4,0.0,0.0,2.8,1.2,64.1,0.0,0.0,56,60737.0,65.30860215053764,930.0
20180115,0.918,183272.0,183750.0,4.7,1.8,7.7,1.25,0.2,3.3,1.4,63.9,0.0,0.0,56,116850.0,124.97326203208556,935.0
20180116,1.012,184051.0,185272.0,3.5,0.1,6.8,1.25,0.0,2.2,0.7,59.1,0.0,0.0,56,116740.0,124.72222222222224,936.0
20180117,0.9,189778.0,189965.0,4.5,2.4,8.7,0.0,0.0,3.7,1.2,64.1,0.0,0.0,56,122667.0,131.475884244373,933.0
20180118,1.01,186830.0,187898.0,2.1,0.3,4.5,0.58,0.0,3.8,1.9,59.6,0.0,0.0,56,120557.0,129.2143622722401,933.0
20180119,1.126,192522.0,192849.0,1.0,-2.5,5.5,0.0,0.0,3.7,1.6,43.0,0.0,0.0,56,120672.0,129.19914346895075,934.0
20180120,0.804,131015.0,131058.0,2.2,-1.0,6.9,0.0,0.0,3.6,1.6,57.6,0.0,0.0,56,86186.0,92.47424892703864,932.0
20180121,0.648,89257.0,89898.0,0.4,-3.7,5.5,0.0,0.0,3.2,1.0,36.6,0.0,0.0,56,63040.0,67.78494623655914,930.0
20180122,0.692,181756.0,183323.0,0.2,-5.3,4.0,6.0,3.3,5.1,1.5,56.5,1.0,0.0,56,116664.0,124.90792291220556,934.0
20180123,0.636,179123.0,180308.0,-11.7,-14.6,-5.3,0.0,0.0,5.4,3.7,42.0,0.0,0.0,56,113736.0,121.6427807486631,935.0
20180124,0.498,172271.0,173418.0,-14.2,-16.3,-10.7,0.0,0.0,7.2,3.4,31.6,0.0,0.0,56,109605.0,117.85483870967742,930.0
20180125,0.492,174698.0,175887.0,-14.0,-16.4,-9.5,0.0,0.0,4.8,2.8,32.6,0.0,0.0,56,110666.0,118.48608137044968,934.0
20180126,0.526,175403.0,176628.0,-14.8,-17.8,-10.7,0.0,0.0,4.6,2.6,34.9,0.0,0.0,56,111238.0,119.0985010706638,934.0
20180127,0.352,121404.0,121487.0,-9.9,-15.9,-3.5,0.0,0.0,3.4,1.4,37.4,0.0,0.0,56,79777.0,85.59763948497854,932.0
20180128,0.334,85063.0,85993.0,-6.3,-9.3,-1.2,0.0,0.0,5.6,2.6,36.0,0.0,0.0,56,59755.0,64.39116379310344,928.0
20180129,0.62,175035.0,176753.0,-8.5,-11.6,-4.7,0.0,0.0,6.2,2.7,35.0,0.0,0.0,56,113517.0,121.66881028938909,933.0
20180130,0.512,191106.0,191096.0,-5.3,-11.4,-0.8,8.67,2.9,3.8,1.3,62.0,3.5,0.0,56,116406.0,124.63169164882228,934.0
20180131,0.598,187801.0,190359.0,-2.6,-5.2,0.0,0.67,0.0,3.4,1.6,54.5,0.0,0.0,56,123674.0,132.2716577540107,935.0
20180201,0.816,186305.0,187162.0,-4.0,-8.8,1.2,0.0,0.0,3.9,1.6,44.1,0.0,0.0,56,120645.0,129.03208556149733,935.0
20180202,0.886,191472.0,192784.0,-2.4,-7.6,3.8,0.0,0.0,3.6,1.6,51.1,0.0,0.0,56,123126.0,131.6855614973262,935.0
20180203,0.44,128626.0,127985.0,-7.3,-10.4,-2.1,3.83,0.5,5.7,3.8,47.0,0.3,0.0,56,86016.0,92.19292604501608,933.0
20180204,0.328,84176.0,85540.0,-9.5,-12.8,-5.2,0.0,0.0,5.6,3.1,40.9,0.0,0.0,56,60789.0,65.29430719656284,931.0
20180205,0.622,180472.0,181561.0,-9.4,-11.8,-5.1,0.0,0.0,5.6,3.0,37.8,0.0,0.0,56,118701.0,127.08886509635974,934.0
20180206,0.592,181356.0,182728.0,-10.1,-12.8,-5.8,0.0,0.0,4.9,3.1,36.5,0.0,0.0,56,119475.0,127.91755888650964,934.0
20180207,0.676,186734.0,187903.0,-8.0,-13.4,-1.6,0.0,0.0,3.3,1.5,39.8,0.0,0.0,56,122150.0,130.64171122994654,935.0
20180208,0.758,188926.0,190176.0,-4.4,-9.7,2.0,0.0,0.0,3.0,1.2,43.3,0.0,0.0,56,124012.0,132.77516059957173,934.0
20180209,0.946,192384.0,193033.0,0.4,-5.3,6.1,0.0,0.0,3.0,1.1,43.9,0.0,0.0,56,123334.0,132.0492505353319,934.0
20180210,0.606,129769.0,129728.0,-0.5,-6.9,3.2,0.0,0.0,6.3,3.0,47.4,0.0,0.0,56,88229.0,94.46359743040684,934.0
20180211,0.356,89133.0,88997.0,-6.1,-9.5,-2.2,1.0,0.0,5.1,2.7,42.5,0.0,0.0,56,62578.0,67.21589688506982,931.0
