자치구,사용일자,승차총승객수,하차총승객수
광진구,20180101,132814.0,127828.0
광진구,20180102,220378.0,218082.0
광진구,20180103,223801.0,220743.0
광진구,20180104,224870.0,221870.0
광진구,20180105,240028.0,238971.0
광진구,20180106,200953.0,202066.0
광진구,20180107,145389.0,146273.0
광진구,20180108,221438.0,219287.0
광진구,20180109,222692.0,219337.0
광진구,20180110,227669.0,225097.0
광진구,20180111,214552.0,211612.0
광진구,20180112,223286.0,222997.0
광진구,20180113,199199.0,201599.0
광진구,20180114,152334.0,153841.0
광진구,20180115,223597.0,221234.0
광진구,20180116,222839.0,219899.0
광진구,20180117,230845.0,227417.0
광진구,20180118,229154.0,226004.0
광진구,20180119,243185.0,242147.0
광진구,20180120,206129.0,207740.0
광진구,20180121,152770.0,154218.0
광진구,20180122,221849.0,219590.0
광진구,20180123,212318.0,209573.0
광진구,20180124,207085.0,203137.0
광진구,20180125,209465.0,204627.0
광진구,20180126,219111.0,217286.0
광진구,20180127,185712.0,188405.0
광진구,20180128,143155.0,144226.0
광진구,20180129,214252.0,210944.0
광진구,20180130,227432.0,227785.0
광진구,20180131,227523.0,223823.0
광진구,20180201,225395.0,221231.0
광진구,20180202,239820.0,237908.0
광진구,20180203,200866.0,202980.0
광진구,20180204,143057.0,143592.0
광진구,20180205,214978.0,211855.0
광진구,20180206,216195.0,212299.0
광진구,20180207,223831.0,220215.0
광진구,20180208,227476.0,224291.0
광진구,20180209,240857.0,239038.0
광진구,20180210,197992.0,198687.0
광진구,20180211,144804.0,146846.0
광진구,20180212,224574.0,222709.0
광진구,20180213,228927.0,228475.0
광진구,20180214,232108.0,241706.0
광진구,20180215,105110.0,115239.0
광진구,20180216,93476.0,90832.0
광진구,20180217,130780.0,129313.0
광진구,20180218,144701.0,142943.0
광진구,20180219,228898.0,224374.0
광진구,20180220,235719.0,232740.0
광진구,20180221,240522.0,237214.0
광진구,20180222,246793.0,244629.0
광진구,20180223,256670.0,255345.0
광진구,20180224,223495.0,225148.0
광진구,20180225,167411.0,168245.0
광진구,20180226,239656.0,237685.0
광진구,20180227,238805.0,235675.0
광진구,20180228,242064.0,240872.0
광진구,20180301,166993.0,166774.0
광진구,20180302,242079.0,239466.0
광진구,20180303,216800.0,218422.0
광진구,20180304,151076.0,153178.0
광진구,20180305,241126.0,237813.0
광진구,20180306,247054.0,241920.0
광진구,20180307,247110.0,242793.0
광진구,20180308,245313.0,239304.0
광진구,20180309,261609.0,259752.0
광진구,20180310,227983.0,228775.0
광진구,20180311,175220.0,177132.0
광진구,20180312,243861.0,241678.0
광진구,20180313,248551.0,244460.0
광진구,20180314,258116.0,255133.0
광진구,20180315,240066.0,234890.0
