기준_날짜,광진구,동대문구,성동구,중랑구
20220101,2846,2382,1892,1634
20220102,2660,2378,1846,1694
20220103,4992,4210,4066,2730
20220104,5136,4480,4258,2782
20220105,5348,4540,4352,2778
20220106,5604,4812,4478,2964
20220107,5632,4876,4532,2842
20220108,4100,3572,2886,2446
20220109,3794,3088,2626,2182
20220110,5586,4818,4166,2834
20220111,4284,3384,3026,2166
20220112,4492,3502,3392,2196
20220113,4164,3618,3152,2114
20220114,4630,3798,3670,2534
20220115,4020,3236,2724,2138
20220116,3170,2580,2180,1630
20220117,3780,3180,2768,1854
20220118,4624,3828,3578,2308
20220119,2646,2160,1968,1212
20220120,3960,3406,3066,1838
20220121,5076,3882,3726,2452
20220122,4350,3376,3032,2280
20220123,4194,3374,3350,2234
20220124,6312,5038,4864,3030
20220125,4204,3230,3342,2054
20220126,6162,4880,4670,3164
20220127,5808,4520,4520,2942
20220128,5502,4368,4070,2844
20220129,3778,2920,2466,2162
20220130,3062,2462,2156,1804
20220131,2784,2248,2030,1814
20220201,1472,1104,1078,918
20220202,2952,2174,2204,1712
20220203,4648,3668,3518,2440
20220204,4542,3454,3356,2552
20220205,3188,2486,2162,1690
20220206,3208,2460,2120,1868
20220207,5006,4148,3906,2704
20220208,5135,4201,4240,2683
20220209,6128,4710,4840,3334
20220210,6230,4934,4870,3144
20220211,6450,5116,4956,3410
20220212,6204,4372,4218,3260
20220213,5312,3898,4182,2918
20220214,4848,3562,3424,2274
20220215,4558,3732,3496,2474
20220216,4062,3170,3136,2160
20220217,4704,3396,3492,2244
20220218,5568,4194,4186,2892
20220219,3948,3094,2988,2286
20220220,3000,2474,2068,1736
20220221,4662,3740,3570,2426
20220222,4750,3766,3364,2422
20220223,4538,3534,3374,2312
20220224,3438,2679,2578,1892
20220225,5932,4654,4754,3070
20220226,3986,2820,2498,1976
20220227,5378,3870,4556,2796
20220228,7200,5554,5626,3602
20220301,4964,3920,3866,2640
20220302,6738,5626,5420,3462
20220303,7906,6104,6362,3980
20220304,7040,5958,5368,3724
20220305,5346,4480,4134,3130
20220306,5304,4268,4380,3110
20220307,7342,5966,5784,3608
20220308,7924,6468,6426,4170
20220309,9500,6544,8202,4566
20220310,8644,6874,7168,4518
20220311,9816,7764,8104,4978
20220312,8480,5884,7164,4166
20220313,3522,3012,2828,1696
20220314,5016,4220,3878,2532
20220315,9556,7320,7666,4870
20220316,10116,7810,8104,5396
20220317,7166,6108,5844,3734
20220318,7426,6156,6076,3984
20220319,3528,2634,2392,1766
20220320,6570,4890,5586,3678
20220321,8402,6930,6640,4396
20220322,9940,7804,7904,4980
20220323,8610,6994,6540,4394
