사용일자,노선명,역명,승차총승객수,하차총승객수,자치구
20180101,우이신설선,신설동,699.0,809.0,동대문구
20180101,7호선,뚝섬유원지,4558.0,4320.0,광진구
20180101,7호선,건대입구,9395.0,9772.0,광진구
20180101,7호선,어린이대공원(세종대),6171.0,6279.0,광진구
20180101,7호선,군자(능동),7034.0,4447.0,광진구
20180101,7호선,중곡,4594.0,4587.0,광진구
20180101,7호선,용마산,2928.0,3076.0,중랑구
20180101,7호선,사가정,7758.0,7791.0,중랑구
20180101,7호선,면목,7191.0,7362.0,중랑구
20180101,7호선,상봉(시외버스터미널),8478.0,8039.0,중랑구
20180101,7호선,중화,4934.0,5032.0,중랑구
20180101,7호선,먹골,4662.0,4810.0,중랑구
20180101,6호선,봉화산(서울의료원),3842.0,3896.0,중랑구
20180101,5호선,광나루(장신대),7221.0,7107.0,광진구
20180101,5호선,아차산(어린이대공원후문),11208.0,10671.0,광진구
20180101,5호선,군자(능동),5053.0,7059.0,광진구
20180101,5호선,장한평,6900.0,6868.0,동대문구
20180101,5호선,답십리,7144.0,6905.0,성동구
20180101,5호선,마장,2647.0,2607.0,성동구
20180101,5호선,왕십리(성동구청),2438.0,3142.0,성동구
20180101,5호선,행당,3489.0,3259.0,성동구
20180101,5호선,신금호,2485.0,2686.0,성동구
20180101,경춘선,신내,363.0,351.0,중랑구
20180101,중앙선,상봉(시외버스터미널),3456.0,3530.0,중랑구
20180101,경원선,청량리(서울시립대입구),13203.0,11151.0,동대문구
20180101,경원선,왕십리(성동구청),9950.0,11580.0,성동구
20180101,경원선,옥수,64.0,18.0,성동구
20180101,3호선,옥수,4293.0,4777.0,성동구
20180101,3호선,금호,3974.0,3804.0,성동구
20180101,3호선,연신내,21165.0,21506.0,중랑구
20180101,2호선,용두(동대문구청),1011.0,1171.0,동대문구
20180101,2호선,신설동,2205.0,2037.0,동대문구
20180101,2호선,신답,515.0,639.0,성동구
20180101,2호선,용답,1475.0,1640.0,성동구
20180101,2호선,강변(동서울터미널),37348.0,33026.0,광진구
20180101,2호선,구의(광진구청),9810.0,10083.0,광진구
20180101,2호선,건대입구,30422.0,30477.0,광진구
20180101,2호선,성수,7262.0,8098.0,성동구
20180101,2호선,뚝섬,4858.0,5262.0,성동구
20180101,2호선,한양대,2298.0,2824.0,성동구
20180101,2호선,왕십리(성동구청),9480.0,8790.0,성동구
20180101,2호선,상왕십리,5671.0,5910.0,성동구
20180101,1호선,청량리(서울시립대입구),17025.0,17058.0,동대문구
20180101,1호선,제기동,10290.0,10559.0,동대문구
20180101,1호선,신설동,7257.0,7050.0,동대문구
20180102,1호선,신설동,16996.0,16684.0,동대문구
20180102,1호선,제기동,20573.0,21256.0,동대문구
20180102,1호선,청량리(서울시립대입구),27489.0,28024.0,동대문구
20180102,2호선,상왕십리,14693.0,14337.0,성동구
20180102,2호선,왕십리(성동구청),19841.0,16026.0,성동구
20180102,2호선,한양대,8826.0,10126.0,성동구
20180102,2호선,뚝섬,18403.0,19896.0,성동구
20180102,2호선,성수,31514.0,33975.0,성동구
20180102,2호선,건대입구,42771.0,46621.0,광진구
20180102,2호선,구의(광진구청),25573.0,25075.0,광진구
20180102,2호선,강변(동서울터미널),47562.0,45693.0,광진구
20180102,2호선,용답,2608.0,2699.0,성동구
20180102,2호선,신답,1493.0,1752.0,성동구
20180102,2호선,신설동,4157.0,4186.0,동대문구
20180102,2호선,용두(동대문구청),2558.0,2741.0,동대문구
20180102,3호선,연신내,44100.0,42150.0,중랑구
20180102,3호선,금호,9253.0,8739.0,성동구
20180102,3호선,옥수,10236.0,10958.0,성동구
20180102,경원선,옥수,53.0,25.0,성동구
20180102,경원선,왕십리(성동구청),15847.0,18417.0,성동구
20180102,경원선,청량리(서울시립대입구),15606.0,16675.0,동대문구
20180102,중앙선,상봉(시외버스터미널),5977.0,5896.0,중랑구
20180102,경춘선,신내,757.0,740.0,중랑구
20180102,5호선,신금호,6369.0,6387.0,성동구
20180102,5호선,행당,9150.0,8239.0,성동구
20180102,5호선,왕십리(성동구청),5243.0,5996.0,성동구
20180102,5호선,마장,6574.0,6205.0,성동구
20180102,5호선,답십리,17548.0,16142.0,성동구
20180102,5호선,장한평,19943.0,19965.0,동대문구
20180102,5호선,군자(능동),11587.0,14345.0,광진구
20180102,5호선,아차산(어린이대공원후문),14935.0,14407.0,광진구
20180102,5호선,광나루(장신대),15016.0,13593.0,광진구
20180102,6호선,연신내,1.0,0.0,중랑구
20180102,6호선,봉화산(서울의료원),10547.0,9539.0,중랑구
20180102,7호선,먹골,11431.0,10948.0,중랑구
20180102,7호선,중화,11882.0,11443.0,중랑구
20180102,7호선,상봉(시외버스터미널),18090.0,16994.0,중랑구
20180102,7호선,면목,16214.0,15704.0,중랑구
20180102,7호선,사가정,16584.0,16496.0,중랑구
20180102,7호선,용마산,6720.0,6198.0,중랑구
20180102,7호선,중곡,10817.0,10181.0,광진구
20180102,7호선,군자(능동),15311.0,10101.0,광진구
20180102,7호선,어린이대공원(세종대),13305.0,13364.0,광진구
20180102,7호선,건대입구,15761.0,17206.0,광진구
20180102,7호선,뚝섬유원지,7740.0,7496.0,광진구
20180102,우이신설선,신설동,1634.0,1669.0,동대문구
20180103,1호선,신설동,16836.0,16475.0,동대문구
20180103,1호선,제기동,20454.0,20903.0,동대문구
20180103,1호선,청량리(서울시립대입구),27190.0,28067.0,동대문구
20180103,2호선,상왕십리,15070.0,14682.0,성동구
20180103,2호선,왕십리(성동구청),20745.0,16703.0,성동구
20180103,2호선,한양대,9619.0,10500.0,성동구
20180103,2호선,뚝섬,19080.0,20493.0,성동구
20180103,2호선,성수,32648.0,35182.0,성동구
20180103,2호선,건대입구,43943.0,47786.0,광진구
20180103,2호선,구의(광진구청),26289.0,25706.0,광진구
20180103,2호선,강변(동서울터미널),45040.0,44074.0,광진구
20180103,2호선,용답,2652.0,2638.0,성동구
20180103,2호선,신답,1480.0,1717.0,성동구
20180103,2호선,신설동,4298.0,4332.0,동대문구
20180103,2호선,용두(동대문구청),2470.0,2619.0,동대문구
20180103,3호선,연신내,44978.0,43091.0,중랑구
20180103,3호선,금호,9337.0,8731.0,성동구
20180103,3호선,옥수,10578.0,11121.0,성동구
20180103,경원선,옥수,36.0,25.0,성동구
20180103,경원선,왕십리(성동구청),16457.0,19080.0,성동구
20180103,경원선,청량리(서울시립대입구),14558.0,16114.0,동대문구
20180103,중앙선,상봉(시외버스터미널),5955.0,5874.0,중랑구
20180103,경춘선,신내,723.0,760.0,중랑구
20180103,5호선,신금호,6519.0,6591.0,성동구
20180103,5호선,행당,9691.0,8665.0,성동구
20180103,5호선,왕십리(성동구청),5461.0,6295.0,성동구
20180103,5호선,마장,6617.0,6279.0,성동구
20180103,5호선,답십리,18244.0,16905.0,성동구
20180103,5호선,장한평,21365.0,21463.0,동대문구
20180103,5호선,군자(능동),11908.0,15049.0,광진구
20180103,5호선,아차산(어린이대공원후문),15254.0,14721.0,광진구
20180103,5호선,광나루(장신대),15303.0,13560.0,광진구
20180103,6호선,봉화산(서울의료원),10584.0,9726.0,중랑구
20180103,7호선,먹골,11445.0,11211.0,중랑구
20180103,7호선,중화,12035.0,11703.0,중랑구
20180103,7호선,상봉(시외버스터미널),18559.0,17662.0,중랑구
20180103,7호선,면목,16403.0,15959.0,중랑구
20180103,7호선,사가정,16517.0,16600.0,중랑구
20180103,7호선,용마산,6872.0,6305.0,중랑구
20180103,7호선,중곡,11168.0,10472.0,광진구
20180103,7호선,군자(능동),15769.0,10202.0,광진구
20180103,7호선,어린이대공원(세종대),14756.0,13939.0,광진구
20180103,7호선,건대입구,16563.0,17668.0,광진구
20180103,7호선,뚝섬유원지,7808.0,7566.0,광진구
20180103,우이신설선,신설동,1588.0,1722.0,동대문구
20180104,우이신설선,신설동,1612.0,1679.0,동대문구
20180104,1호선,신설동,16971.0,16512.0,동대문구
20180104,1호선,제기동,20734.0,20988.0,동대문구
20180104,1호선,청량리(서울시립대입구),27287.0,28090.0,동대문구
20180104,2호선,상왕십리,15588.0,14720.0,성동구
20180104,2호선,왕십리(성동구청),20712.0,16841.0,성동구
20180104,2호선,한양대,9529.0,10622.0,성동구
20180104,2호선,뚝섬,19280.0,20619.0,성동구
20180104,2호선,성수,32411.0,35027.0,성동구
20180104,2호선,건대입구,44792.0,48833.0,광진구
20180104,2호선,구의(광진구청),26503.0,26117.0,광진구
20180104,2호선,강변(동서울터미널),45680.0,44419.0,광진구
20180104,2호선,용답,2633.0,2669.0,성동구
20180104,2호선,신답,1449.0,1710.0,성동구
20180104,2호선,신설동,4130.0,4384.0,동대문구
20180104,2호선,용두(동대문구청),2492.0,2731.0,동대문구
20180104,3호선,연신내,44626.0,42878.0,중랑구
20180104,3호선,금호,9564.0,8835.0,성동구
20180104,3호선,옥수,10690.0,11137.0,성동구
20180104,경원선,옥수,55.0,45.0,성동구
20180104,경원선,왕십리(성동구청),16625.0,18962.0,성동구
20180104,경원선,청량리(서울시립대입구),14978.0,16636.0,동대문구
20180104,중앙선,상봉(시외버스터미널),5901.0,5834.0,중랑구
20180104,경춘선,신내,668.0,721.0,중랑구
20180104,5호선,신금호,6479.0,6456.0,성동구
20180104,5호선,행당,9460.0,8555.0,성동구
20180104,5호선,왕십리(성동구청),5453.0,6139.0,성동구
20180104,5호선,마장,6776.0,6393.0,성동구
20180104,5호선,답십리,18159.0,16514.0,성동구
20180104,5호선,장한평,21320.0,21331.0,동대문구
20180104,5호선,군자(능동),12143.0,14967.0,광진구
20180104,5호선,아차산(어린이대공원후문),15281.0,14646.0,광진구
20180104,5호선,광나루(장신대),15373.0,13496.0,광진구
20180104,6호선,연신내,1.0,0.0,중랑구
20180104,6호선,봉화산(서울의료원),10620.0,9819.0,중랑구
20180104,7호선,먹골,11590.0,11272.0,중랑구
20180104,7호선,중화,12056.0,11621.0,중랑구
20180104,7호선,상봉(시외버스터미널),18643.0,17594.0,중랑구
20180104,7호선,면목,16396.0,15939.0,중랑구
20180104,7호선,사가정,16935.0,16747.0,중랑구
20180104,7호선,용마산,6927.0,6423.0,중랑구
20180104,7호선,중곡,11048.0,10460.0,광진구
20180104,7호선,군자(능동),15596.0,10085.0,광진구
20180104,7호선,어린이대공원(세종대),13919.0,13682.0,광진구
20180104,7호선,건대입구,16751.0,17648.0,광진구
20180104,7호선,뚝섬유원지,7784.0,7517.0,광진구
20180105,우이신설선,신설동,1579.0,1769.0,동대문구
20180105,7호선,뚝섬유원지,8177.0,7814.0,광진구
20180105,7호선,건대입구,17429.0,18919.0,광진구
20180105,7호선,어린이대공원(세종대),14541.0,14299.0,광진구
20180105,7호선,군자(능동),16655.0,10550.0,광진구
20180105,7호선,중곡,11272.0,10314.0,광진구
20180105,7호선,용마산,7156.0,6344.0,중랑구
20180105,7호선,사가정,17376.0,17402.0,중랑구
20180105,7호선,면목,17086.0,16146.0,중랑구
20180105,7호선,상봉(시외버스터미널),19401.0,18602.0,중랑구
20180105,7호선,중화,12514.0,11857.0,중랑구
20180105,7호선,먹골,12097.0,11500.0,중랑구
20180105,6호선,봉화산(서울의료원),10950.0,9927.0,중랑구
20180105,5호선,광나루(장신대),15954.0,13758.0,광진구
20180105,5호선,아차산(어린이대공원후문),15749.0,14733.0,광진구
20180105,5호선,군자(능동),12531.0,16010.0,광진구
20180105,5호선,장한평,21889.0,22195.0,동대문구
20180105,5호선,답십리,18939.0,17079.0,성동구
20180105,5호선,마장,7026.0,6704.0,성동구
20180105,5호선,왕십리(성동구청),5641.0,6812.0,성동구
20180105,5호선,행당,9863.0,8481.0,성동구
20180105,5호선,신금호,6668.0,6662.0,성동구
20180105,경춘선,신내,730.0,743.0,중랑구
20180105,중앙선,상봉(시외버스터미널),6172.0,6140.0,중랑구
20180105,경원선,청량리(서울시립대입구),16983.0,19210.0,동대문구
20180105,경원선,왕십리(성동구청),17750.0,20624.0,성동구
20180105,경원선,옥수,71.0,25.0,성동구
20180105,3호선,옥수,11267.0,11536.0,성동구
20180105,3호선,금호,9962.0,9101.0,성동구
20180105,3호선,연신내,47211.0,44858.0,중랑구
20180105,2호선,용두(동대문구청),2615.0,2733.0,동대문구
20180105,2호선,신설동,5036.0,5061.0,동대문구
20180105,2호선,신답,1585.0,1834.0,성동구
20180105,2호선,용답,2838.0,2667.0,성동구
20180105,2호선,강변(동서울터미널),51823.0,50127.0,광진구
20180105,2호선,구의(광진구청),27452.0,26542.0,광진구
20180105,2호선,건대입구,48445.0,55905.0,광진구
20180105,2호선,성수,32807.0,36052.0,성동구
20180105,2호선,뚝섬,19696.0,21088.0,성동구
20180105,2호선,한양대,9823.0,10766.0,성동구
20180105,2호선,왕십리(성동구청),21821.0,18138.0,성동구
20180105,2호선,상왕십리,15853.0,14955.0,성동구
20180105,1호선,청량리(서울시립대입구),29463.0,30766.0,동대문구
20180105,1호선,제기동,22145.0,22359.0,동대문구
20180105,1호선,신설동,17936.0,17477.0,동대문구
20180106,1호선,신설동,12633.0,12194.0,동대문구
20180106,1호선,제기동,20274.0,20816.0,동대문구
20180106,1호선,청량리(서울시립대입구),26725.0,27803.0,동대문구
20180106,2호선,상왕십리,10713.0,9781.0,성동구
